# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 16 03:46:30 2021
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
#
toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
103.01,336732616,KP,2458327.2525600,0.000586,-0.000586,0,3.5478540,0.0001490,-0.0001490,0,3.4943330,0.0492050,-0.0492050,0
1030.01,464296022,FP,2458551.3274700,0.001320,-0.001320,0,12.1236900,0.0007600,-0.0007600,0,4.8490000,0.2110000,-0.2110000,0
1031.01,304021498,FP,2459282.2398610,0.002046,-0.002046,0,5.6496834,0.0008136,-0.0008136,0,2.5612882,0.4071460,-0.4071460,0
1032.01,146589986,PC,2459283.8298870,0.001435,-0.001435,0,5.6644730,0.0007689,-0.0007689,0,3.6459666,0.1205842,-0.1205842,0
1033.01,149601557,FP,2459179.5445500,0.002126,-0.002126,0,29.0162503,0.0001146,-0.0001146,0,6.5070000,0.7630000,-0.7630000,0
1034.01,400595342,FP,2459283.3375370,0.003484,-0.003484,0,3.6344692,0.0009773,-0.0009773,0,2.5339234,0.5744699,-0.5744699,0
1035.01,361413119,PC,2459311.1690300,0.001083,-0.001083,0,6.0749453,0.0005713,-0.0005713,0,2.5945424,0.0876012,-0.0876012,0
1036.01,146172354,PC,2459303.9453570,0.001828,-0.001828,0,3.7795364,0.0000131,-0.0000131,0,3.2380000,0.4990000,-0.4990000,0
1037.01,363260203,FP,2459308.3056350,0.001770,-0.001770,0,1.2013272,0.0001542,-0.0001542,0,3.4475374,0.3109844,-0.3109844,0
1038.01,90544017,FP,2459273.3716430,0.002025,-0.002025,0,3.2235985,0.0000138,-0.0000138,0,2.1590000,0.4520000,-0.4520000,0
1039.01,461867584,APC,2459284.2122910,0.001210,-0.001210,0,4.4205396,0.0004806,-0.0004806,0,4.8490726,0.0700071,-0.0700071,0
104.01,231670397,KP,2459038.8635660,0.000955,-0.000955,0,4.0874935,0.0003199,-0.0003199,0,5.6029835,0.0752528,-0.0752528,0
1040.01,310483807,FP,2458520.6567400,0.004970,-0.004970,0,2.5555500,0.0004500,-0.0004500,0,1.5660000,0.3750000,-0.3750000,0
1041.01,385624852,FP,2459261.8012160,0.000400,-0.000400,0,8.3079200,0.0003700,-0.0003700,0,3.2280000,0.0890000,-0.0890000,0
1042.01,360286627,PC,2459331.3664200,0.000862,-0.000862,0,0.7581018,0.0000012,-0.0000012,0,1.0780000,0.1920000,-0.1920000,0
1043.01,90448944,PC,2459305.3558630,0.003569,-0.003569,0,1.4415711,0.0000086,-0.0000086,0,2.3820000,0.2660000,-0.2660000,0
1044.01,463402815,PC,2459308.0444140,0.001273,-0.001273,0,1.0081743,0.0000881,-0.0000881,0,2.1503902,0.1062413,-0.1062413,0
1045.01,54044474,FP,2458545.9224800,0.000530,-0.000530,0,3.7042600,0.0001500,-0.0001500,0,4.0800000,0.0590000,-0.0590000,0
1046.01,309787037,FP,2459255.7600330,0.001612,-0.001612,0,1.3038898,0.0001524,-0.0001524,0,2.0447388,0.4084549,-0.4084549,0
1047.01,370745311,FP,2458544.7906100,0.000920,-0.000920,0,0.6262700,0.0000200,-0.0000200,0,0.6660000,0.1690000,-0.1690000,0
1048.01,384549882,FP,2458518.3760000,0.000750,-0.000750,0,0.3041200,0.0000100,-0.0000100,0,0.7480000,0.1000000,-0.1000000,0
1049.01,16288184,KP,2459363.8213930,0.000699,-0.000699,0,2.1805771,0.0001176,-0.0001176,0,2.9057811,0.0537194,-0.0537194,0
105.01,144065872,KP,2459084.5850100,0.000110,-0.000110,0,2.1846700,,,0,2.7180000,0.0140000,-0.0140000,0
1050.01,66818296,KP,2459336.8678800,0.000394,-0.000394,0,3.7355697,0.0001096,-0.0001096,0,4.3263124,0.0288109,-0.0288109,0
1051.01,259863352,FA,2458657.7366250,0.007425,-0.007425,0,21.7016690,0.0095323,-0.0095323,0,8.2676424,0.5088978,-0.5088978,0
1052.01,317060587,PC,2458332.9412290,0.003592,-0.003592,0,9.1398040,0.0027370,-0.0027370,0,3.0912940,0.8281320,-0.8281320,0
1053.01,112395568,FP,2458657.9991790,0.001553,-0.001553,0,5.7426250,0.0006210,-0.0006210,0,2.8602930,0.2304990,-0.2304990,0
1054.01,366989877,CP,2458664.9730310,0.002548,-0.002548,0,15.5052900,0.0035860,-0.0035860,0,5.0927860,0.3991040,-0.3991040,0
1055.01,320004517,CP,2458661.0628420,0.001217,-0.001217,0,17.4711390,0.0016920,-0.0016920,0,4.3197980,0.1865230,-0.1865230,0
1056.01,421894914,PC,2458326.0597650,0.001800,-0.001800,0,5.3079888,0.0000310,-0.0000310,0,3.1395198,0.3012694,-0.3012694,0
